,country_2016,country_count,earliest_country
0,GB,342,ES
1,US,276,ES
2,PT,165,ES
3,FR,112,ES
4,DE,103,ES
5,MX,103,ES
6,CO,81,ES
7,IT,65,ES
8,SE,59,ES
9,CH,57,ES
10,CL,56,ES
11,NL,52,ES
12,DK,48,ES
13,BR,48,ES
14,EC,36,ES
15,AU,36,ES
16,CA,34,ES
17,BE,24,ES
18,IE,22,ES
19,AT,20,ES
20,AR,18,ES
21,FI,15,ES
22,PE,14,ES
23,CZ,10,ES
24,JP,9,ES
25,NO,9,ES
26,PL,8,ES
27,SA,5,ES
28,CN,5,ES
29,GR,4,ES
30,PR,4,ES
31,VE,4,ES
32,IN,4,ES
33,KR,4,ES
34,EG,3,ES
35,PS,3,ES
36,MA,3,ES
37,NZ,3,ES
38,RU,3,ES
39,LU,3,ES
40,UY,2,ES
41,TR,2,ES
42,IS,2,ES
43,SG,2,ES
44,QA,2,ES
45,TN,2,ES
46,GT,2,ES
47,AE,2,ES
48,IL,2,ES
49,CR,2,ES
50,ZA,2,ES
51,MT,2,ES
52,CY,2,ES
53,DO,2,ES
54,CV,1,ES
55,RS,1,ES
56,PK,1,ES
57,UG,1,ES
58,CU,1,ES
59,CD,1,ES
60,TW,1,ES
61,LV,1,ES
62,HR,1,ES
63,SM,1,ES
64,HN,1,ES
65,IR,1,ES
66,SK,1,ES
67,KE,1,ES
68,AO,1,ES
69,MK,1,ES
70,MY,1,ES
71,GU,1,ES
72,HK,1,ES
73,NG,1,ES
74,DZ,1,ES
75,CM,1,ES
76,OM,1,ES
